# Force        
# CofR         : (0.0000000e+000 0.0000000e+000 0.0000000e+000)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000119904    	(8.0864430e+004 -5.9265815e+004 4.9063903e+004)	(8.0847630e+004 -5.9265906e+004 4.9063913e+004)	(1.6800289e+001 9.1652783e-002 -1.0213147e-002)
0.000263651    	(1.9104935e+003 -1.8203721e+003 2.8364199e+003)	(1.8938524e+003 -1.8205439e+003 2.8364823e+003)	(1.6641012e+001 1.7183818e-001 -6.2314132e-002)
0.000436346    	(9.0745367e+002 -1.2250813e+003 2.2442831e+003)	(8.9095701e+002 -1.2252932e+003 2.2443607e+003)	(1.6496663e+001 2.1183721e-001 -7.7555069e-002)
0.000643726    	(4.9885762e+002 -9.8319735e+002 2.0173462e+003)	(4.8252957e+002 -9.8343170e+002 2.0174228e+003)	(1.6328057e+001 2.3434501e-001 -7.6673790e-002)
0.000893       	(3.4630362e+002 -8.6887948e+002 1.9053672e+003)	(3.3016349e+002 -8.6912828e+002 1.9054341e+003)	(1.6140135e+001 2.4880087e-001 -6.6844846e-002)
0.00119243     	(2.5421091e+002 -7.9048705e+002 1.8314626e+003)	(2.3828526e+002 -7.9074509e+002 1.8315135e+003)	(1.5925648e+001 2.5804029e-001 -5.0851883e-002)
0.00154869     	(1.9092796e+002 -7.3209912e+002 1.7733559e+003)	(1.7524767e+002 -7.3236262e+002 1.7733869e+003)	(1.5680295e+001 2.6350189e-001 -3.1092859e-002)
0.00196281     	(1.4556919e+002 -6.9047005e+002 1.7320164e+003)	(1.3016556e+002 -6.9073629e+002 1.7320258e+003)	(1.5403625e+001 2.6624117e-001 -9.4268552e-003)
0.00243376     	(1.0933456e+002 -6.5924920e+002 1.7005837e+003)	(9.4238536e+001 -6.5951610e+002 1.7005700e+003)	(1.5096020e+001 2.6690195e-001 1.3661232e-002)
0.00296227     	(8.1961136e+001 -6.3808144e+002 1.6796398e+003)	(6.7202631e+001 -6.3834774e+002 1.6796015e+003)	(1.4758506e+001 2.6629630e-001 3.8273136e-002)
0.00351566     	(7.3947938e+001 -6.2476183e+002 1.6645331e+003)	(5.9540920e+001 -6.2502646e+002 1.6644690e+003)	(1.4407018e+001 2.6462383e-001 6.4116108e-002)
0.00407571     	(7.0876029e+001 -6.1714475e+002 1.6544100e+003)	(5.6822940e+001 -6.1740695e+002 1.6543204e+003)	(1.4053089e+001 2.6219675e-001 8.9599541e-002)
0.00464976     	(6.9406569e+001 -6.1168587e+002 1.6465006e+003)	(5.5712151e+001 -6.1194491e+002 1.6463867e+003)	(1.3694419e+001 2.5904169e-001 1.1389956e-001)
0.00523118     	(6.8005916e+001 -6.0611334e+002 1.6382408e+003)	(5.4669683e+001 -6.0636850e+002 1.6381044e+003)	(1.3336233e+001 2.5516304e-001 1.3638720e-001)
0.00581259     	(6.6998264e+001 -6.0175996e+002 1.6316137e+003)	(5.4014849e+001 -6.0201083e+002 1.6314570e+003)	(1.2983415e+001 2.5086693e-001 1.5671337e-001)
0.00640176     	(6.6539346e+001 -5.9742408e+002 1.6250802e+003)	(5.3907542e+001 -5.9767032e+002 1.6249050e+003)	(1.2631803e+001 2.4623829e-001 1.7514357e-001)
0.00699092     	(6.5864654e+001 -5.9312520e+002 1.6188794e+003)	(5.3578538e+001 -5.9336662e+002 1.6186876e+003)	(1.2286115e+001 2.4141948e-001 1.9183241e-001)
0.00758009     	(6.5887481e+001 -5.8963523e+002 1.6135309e+003)	(5.3940823e+001 -5.8987171e+002 1.6133241e+003)	(1.1946658e+001 2.3647244e-001 2.0680715e-001)
0.00817755     	(6.5380894e+001 -5.8561237e+002 1.6077809e+003)	(5.3772156e+001 -5.8584377e+002 1.6075604e+003)	(1.1608739e+001 2.3140159e-001 2.2048616e-001)
0.00877501     	(6.5605773e+001 -5.8239407e+002 1.6027261e+003)	(5.4328625e+001 -5.8262045e+002 1.6024933e+003)	(1.1277147e+001 2.2638867e-001 2.3281782e-001)
0.00937248     	(6.5283661e+001 -5.7920790e+002 1.5979322e+003)	(5.4331869e+001 -5.7942933e+002 1.5976884e+003)	(1.0951792e+001 2.2142973e-001 2.4376966e-001)
0.00997886     	(6.5235524e+001 -5.7614695e+002 1.5933371e+003)	(5.4607274e+001 -5.7636322e+002 1.5930836e+003)	(1.0628249e+001 2.1627163e-001 2.5358514e-001)
0.0105852      	(6.4948734e+001 -5.7271245e+002 1.5881426e+003)	(5.4637439e+001 -5.7292355e+002 1.5878805e+003)	(1.0311295e+001 2.1109999e-001 2.6205299e-001)
0.0112011      	(6.5075939e+001 -5.6956181e+002 1.5829885e+003)	(5.5079671e+001 -5.6976768e+002 1.5827193e+003)	(9.9962674e+000 2.0586923e-001 2.6920631e-001)
0.011817       	(6.5129658e+001 -5.6660631e+002 1.5782846e+003)	(5.5441574e+001 -5.6680689e+002 1.5780095e+003)	(9.6880839e+000 2.0058776e-001 2.7508109e-001)
0.0124429      	(6.5236597e+001 -5.6416102e+002 1.5746803e+003)	(5.5854573e+001 -5.6435619e+002 1.5744004e+003)	(9.3820236e+000 1.9517354e-001 2.7983855e-001)
0.0130689      	(6.5057016e+001 -5.6112437e+002 1.5698813e+003)	(5.5973919e+001 -5.6131409e+002 1.5695979e+003)	(9.0830971e+000 1.8971196e-001 2.8341765e-001)
0.0136948      	(6.5178582e+001 -5.5896307e+002 1.5667298e+003)	(5.6387228e+001 -5.5914731e+002 1.5664438e+003)	(8.7913543e+000 1.8423242e-001 2.8593989e-001)
0.0143317      	(6.4872811e+001 -5.5595181e+002 1.5620081e+003)	(5.6370897e+001 -5.5613048e+002 1.5617207e+003)	(8.5019144e+000 1.7867222e-001 2.8744760e-001)
0.0149687      	(6.5104051e+001 -5.5411265e+002 1.5589826e+003)	(5.6884158e+001 -5.5428577e+002 1.5586945e+003)	(8.2198934e+000 1.7312480e-001 2.8807071e-001)
0.0156056      	(6.5042303e+001 -5.5172653e+002 1.5552926e+003)	(5.7097099e+001 -5.5189411e+002 1.5550048e+003)	(7.9452040e+000 1.6758934e-001 2.8778359e-001)
0.0162546      	(6.5010749e+001 -5.4955918e+002 1.5520543e+003)	(5.7337768e+001 -5.4972115e+002 1.5517677e+003)	(7.6729809e+000 1.6197066e-001 2.8661494e-001)
0.0169035      	(6.4988733e+001 -5.4699431e+002 1.5477518e+003)	(5.7580413e+001 -5.4715066e+002 1.5474671e+003)	(7.4083204e+000 1.5634796e-001 2.8468404e-001)
0.0175525      	(6.5091378e+001 -5.4508498e+002 1.5447592e+003)	(5.7940247e+001 -5.4523578e+002 1.5444772e+003)	(7.1511303e+000 1.5079594e-001 2.8204535e-001)
0.0182014      	(6.4935602e+001 -5.4266767e+002 1.5407533e+003)	(5.8034266e+001 -5.4281294e+002 1.5404745e+003)	(6.9013356e+000 1.4527735e-001 2.7874303e-001)
0.0188504      	(6.4977282e+001 -5.4082611e+002 1.5379277e+003)	(5.8318421e+001 -5.4096594e+002 1.5376528e+003)	(6.6588612e+000 1.3982965e-001 2.7485131e-001)
0.0194993      	(6.4691432e+001 -5.3848909e+002 1.5344156e+003)	(5.8267821e+001 -5.3862351e+002 1.5341452e+003)	(6.4236113e+000 1.3441814e-001 2.7039639e-001)
0.0201624      	(6.4572037e+001 -5.3655826e+002 1.5317516e+003)	(5.8381360e+001 -5.3668721e+002 1.5314862e+003)	(6.1906761e+000 1.2895427e-001 2.6535310e-001)
0.0208254      	(6.4426290e+001 -5.3431956e+002 1.5283770e+003)	(5.8461258e+001 -5.3444313e+002 1.5281172e+003)	(5.9650326e+000 1.2357221e-001 2.5983075e-001)
0.0214885      	(6.4379042e+001 -5.3260105e+002 1.5259406e+003)	(5.8632426e+001 -5.3271930e+002 1.5256867e+003)	(5.7466161e+000 1.1825559e-001 2.5390791e-001)
0.0221515      	(6.4238222e+001 -5.3051027e+002 1.5226981e+003)	(5.8702974e+001 -5.3062328e+002 1.5224505e+003)	(5.5352480e+000 1.1301198e-001 2.4762922e-001)
0.0228146      	(6.4172132e+001 -5.2889929e+002 1.5202925e+003)	(5.8841299e+001 -5.2900715e+002 1.5200514e+003)	(5.3308331e+000 1.0786306e-001 2.4110893e-001)
0.0234777      	(6.3846273e+001 -5.2718309e+002 1.5178583e+003)	(5.8713065e+001 -5.2728595e+002 1.5176239e+003)	(5.1332079e+000 1.0285670e-001 2.3439345e-001)
0.0241407      	(6.4036976e+001 -5.2531881e+002 1.5145636e+003)	(5.9094726e+001 -5.2541677e+002 1.5143361e+003)	(4.9422502e+000 9.7960652e-002 2.2751634e-001)
0.0248038      	(6.3978109e+001 -5.2359057e+002 1.5121074e+003)	(5.9220334e+001 -5.2368374e+002 1.5118869e+003)	(4.7577755e+000 9.3169473e-002 2.2050472e-001)
0.0254668      	(6.4103363e+001 -5.2210326e+002 1.5095495e+003)	(5.9523667e+001 -5.2219174e+002 1.5093361e+003)	(4.5796966e+000 8.8478386e-002 2.1338906e-001)
0.0261299      	(6.4207122e+001 -5.2052851e+002 1.5072863e+003)	(5.9799312e+001 -5.2061240e+002 1.5070801e+003)	(4.4078105e+000 8.3896758e-002 2.0619798e-001)
0.026793       	(6.4257326e+001 -5.1916369e+002 1.5050434e+003)	(6.0015285e+001 -5.1924311e+002 1.5048444e+003)	(4.2420409e+000 7.9412999e-002 1.9893430e-001)
0.0274755      	(6.4125527e+001 -5.1743064e+002 1.5022132e+003)	(6.0047859e+001 -5.1750554e+002 1.5020218e+003)	(4.0776673e+000 7.4901181e-002 1.9139877e-001)
0.0281581      	(6.4167760e+001 -5.1603343e+002 1.4998967e+003)	(6.0248284e+001 -5.1610393e+002 1.4997129e+003)	(3.9194760e+000 7.0494274e-002 1.8383560e-001)
0.0288406      	(6.4195893e+001 -5.1442412e+002 1.4971403e+003)	(6.0428606e+001 -5.1449031e+002 1.4969640e+003)	(3.7672861e+000 6.6195811e-002 1.7626009e-001)
0.0295232      	(6.4176338e+001 -5.1308044e+002 1.4949822e+003)	(6.0555388e+001 -5.1314247e+002 1.4948135e+003)	(3.6209496e+000 6.2025733e-002 1.6872803e-001)
0.0302293      	(6.3997632e+001 -5.1140007e+002 1.4921912e+003)	(6.0522064e+001 -5.1145793e+002 1.4920302e+003)	(3.4755678e+000 5.7858719e-002 1.6100126e-001)
0.0309354      	(6.3684064e+001 -5.0998887e+002 1.4897445e+003)	(6.0347984e+001 -5.1004272e+002 1.4895911e+003)	(3.3360801e+000 5.3845372e-002 1.5336267e-001)
0.0316415      	(6.3584361e+001 -5.0853228e+002 1.4870482e+003)	(6.0382086e+001 -5.0858226e+002 1.4869023e+003)	(3.2022747e+000 4.9983314e-002 1.4582376e-001)
0.0323758      	(6.3382647e+001 -5.0713354e+002 1.4848119e+003)	(6.0313651e+001 -5.0717968e+002 1.4846738e+003)	(3.0689959e+000 4.6137200e-002 1.3814897e-001)
0.0331102      	(6.3490349e+001 -5.0569571e+002 1.4821320e+003)	(6.0548893e+001 -5.0573818e+002 1.4820014e+003)	(2.9414557e+000 4.2461859e-002 1.3061211e-001)
0.0339144      	(6.3249940e+001 -5.0423938e+002 1.4797592e+003)	(6.0441746e+001 -5.0427801e+002 1.4796365e+003)	(2.8081933e+000 3.8627118e-002 1.2263551e-001)
0.0347611      	(6.3202542e+001 -5.0253434e+002 1.4763903e+003)	(6.0527665e+001 -5.0256911e+002 1.4762758e+003)	(2.6748776e+000 3.4774221e-002 1.1448010e-001)
0.0357135      	(6.3289666e+001 -5.0029499e+002 1.4716524e+003)	(6.0756498e+001 -5.0032558e+002 1.4715467e+003)	(2.5331682e+000 3.0591422e-002 1.0571349e-001)
0.0366064      	(6.3430048e+001 -4.9947240e+002 1.4707713e+003)	(6.1022438e+001 -4.9949916e+002 1.4706735e+003)	(2.4076099e+000 2.6755497e-002 9.7815084e-002)
0.0374993      	(6.3412702e+001 -4.9825452e+002 1.4689394e+003)	(6.1123912e+001 -4.9827784e+002 1.4688492e+003)	(2.2887896e+000 2.3320325e-002 9.0185775e-002)
0.0383327      	(6.3496886e+001 -4.9696548e+002 1.4666957e+003)	(6.1313169e+001 -4.9698586e+002 1.4666124e+003)	(2.1837171e+000 2.0380167e-002 8.3292941e-002)
0.0391105      	(6.3781872e+001 -4.9576787e+002 1.4645405e+003)	(6.1691365e+001 -4.9578567e+002 1.4644634e+003)	(2.0905069e+000 1.7801066e-002 7.7093944e-002)
0.0398883      	(6.3558402e+001 -4.9445363e+002 1.4621362e+003)	(6.1556545e+001 -4.9446899e+002 1.4620650e+003)	(2.0018569e+000 1.5356343e-002 7.1184878e-002)
