# Moment       
# CofR         : (0.0000000e+000 0.0000000e+000 0.0000000e+000)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000119904    	(-1.0007283e+004 2.7386212e+005 1.5195498e+005)	(-1.0007287e+004 2.7386653e+005 1.5195954e+005)	(3.7395172e-003 -4.4044454e+000 -4.5528664e+000)
0.000263651    	(3.4801422e+001 5.5425140e+003 3.7365067e+003)	(3.4788959e+001 5.5471130e+003 3.7412406e+003)	(1.2462168e-002 -4.5990176e+000 -4.7339018e+000)
0.000436346    	(8.3902961e+001 3.7109448e+003 2.3177279e+003)	(8.3884408e+001 3.7156074e+003 2.3225375e+003)	(1.8552977e-002 -4.6625547e+000 -4.8095622e+000)
0.000643726    	(1.0323295e+002 3.0155309e+003 1.7464749e+003)	(1.0320948e+002 3.0201957e+003 1.7513080e+003)	(2.3467982e-002 -4.6648276e+000 -4.8330744e+000)
0.000893       	(1.1031994e+002 2.7035893e+003 1.4790357e+003)	(1.1029184e+002 2.7082251e+003 1.4838669e+003)	(2.8093190e-002 -4.6358341e+000 -4.8312870e+000)
0.00119243     	(1.1467087e+002 2.5020890e+003 1.2998404e+003)	(1.1463831e+002 2.5066711e+003 1.3046506e+003)	(3.2554523e-002 -4.5821218e+000 -4.8102082e+000)
0.00154869     	(1.1731613e+002 2.3524933e+003 1.1689572e+003)	(1.1727936e+002 2.3570004e+003 1.1737299e+003)	(3.6775405e-002 -4.5070466e+000 -4.7726359e+000)
0.00196281     	(1.1901393e+002 2.2480577e+003 1.0776612e+003)	(1.1897325e+002 2.2524711e+003 1.0823824e+003)	(4.0679816e-002 -4.4133688e+000 -4.7212412e+000)
0.00243376     	(1.2025778e+002 2.1702809e+003 1.0098960e+003)	(1.2021345e+002 2.1745846e+003 1.0145538e+003)	(4.4330630e-002 -4.3036611e+000 -4.6577780e+000)
0.00296227     	(1.2090741e+002 2.1202521e+003 9.6618993e+002)	(1.2085947e+002 2.1244311e+003 9.7077410e+002)	(4.7938313e-002 -4.1790804e+000 -4.5841722e+000)
0.00351566     	(1.2105259e+002 2.0865378e+003 9.3829319e+002)	(1.2100109e+002 2.0905853e+003 9.4279806e+002)	(5.1498457e-002 -4.0474918e+000 -4.5048695e+000)
0.00407571     	(1.2094196e+002 2.0654077e+003 9.2312537e+002)	(1.2088708e+002 2.0693213e+003 9.2754827e+002)	(5.4882932e-002 -3.9136306e+000 -4.4228992e+000)
0.00464976     	(1.2078110e+002 2.0500740e+003 9.1249784e+002)	(1.2072311e+002 2.0538512e+003 9.1683563e+002)	(5.7992032e-002 -3.7771612e+000 -4.3377873e+000)
0.00523118     	(1.2066186e+002 2.0337125e+003 9.0130536e+002)	(1.2060115e+002 2.0373529e+003 9.0555599e+002)	(6.0714909e-002 -3.6403467e+000 -4.2506341e+000)
0.00581259     	(1.2060775e+002 2.0207164e+003 8.9228678e+002)	(1.2054472e+002 2.0242220e+003 8.9645004e+002)	(6.3031525e-002 -3.5056096e+000 -4.1632612e+000)
0.00640176     	(1.2056178e+002 2.0083572e+003 8.8313935e+002)	(1.2049680e+002 2.0117290e+003 8.8721421e+002)	(6.4974259e-002 -3.3717257e+000 -4.0748647e+000)
0.00699092     	(1.2055097e+002 1.9968036e+003 8.7391530e+002)	(1.2048438e+002 2.0000444e+003 8.7790217e+002)	(6.6589598e-002 -3.2408071e+000 -3.9868745e+000)
0.00758009     	(1.2057242e+002 1.9866594e+003 8.6616273e+002)	(1.2050452e+002 1.9897723e+003 8.7006201e+002)	(6.7904769e-002 -3.1128943e+000 -3.8992851e+000)
0.00817755     	(1.2056369e+002 1.9762407e+003 8.5743454e+002)	(1.2049471e+002 1.9792272e+003 8.6124563e+002)	(6.8972096e-002 -2.9865486e+000 -3.8110858e+000)
0.00877501     	(1.2055132e+002 1.9670419e+003 8.5043869e+002)	(1.2048149e+002 1.9699057e+003 8.5416252e+002)	(6.9830984e-002 -2.8637845e+000 -3.7238330e+000)
0.00937248     	(1.2052305e+002 1.9586093e+003 8.4370820e+002)	(1.2045255e+002 1.9613540e+003 8.4734569e+002)	(7.0496214e-002 -2.7447816e+000 -3.6374875e+000)
0.00997886     	(1.2051068e+002 1.9504973e+003 8.3711376e+002)	(1.2043971e+002 1.9531250e+003 8.4066407e+002)	(7.0967384e-002 -2.6276810e+000 -3.5503089e+000)
0.0105852      	(1.2041693e+002 1.9421283e+003 8.3016042e+002)	(1.2034569e+002 1.9446429e+003 8.3362433e+002)	(7.1241699e-002 -2.5145551e+000 -3.4639121e+000)
0.0112011      	(1.2030628e+002 1.9339761e+003 8.2382832e+002)	(1.2023498e+002 1.9363800e+003 8.2720534e+002)	(7.1304805e-002 -2.4039457e+000 -3.3770198e+000)
0.011817       	(1.2019930e+002 1.9267176e+003 8.1800813e+002)	(1.2012813e+002 1.9290150e+003 8.2129901e+002)	(7.1176062e-002 -2.2973651e+000 -3.2908811e+000)
0.0124429      	(1.2019778e+002 1.9203832e+003 8.1285830e+002)	(1.2012691e+002 1.9225763e+003 8.1606249e+002)	(7.0873826e-002 -2.1930572e+000 -3.2041872e+000)
0.0130689      	(1.2006576e+002 1.9133346e+003 8.0697557e+002)	(1.1999537e+002 1.9154275e+003 8.1009401e+002)	(7.0395438e-002 -2.0928290e+000 -3.1184402e+000)
0.0136948      	(1.2006737e+002 1.9076770e+003 8.0246230e+002)	(1.1999760e+002 1.9096735e+003 8.0549602e+002)	(6.9764308e-002 -1.9965016e+000 -3.0337179e+000)
0.0143317      	(1.1992947e+002 1.9008647e+003 7.9674821e+002)	(1.1986050e+002 1.9027672e+003 7.9969687e+002)	(6.8969306e-002 -1.9024850e+000 -2.9486669e+000)
0.0149687      	(1.1989593e+002 1.8959234e+003 7.9305363e+002)	(1.1982788e+002 1.8977357e+003 7.9591850e+002)	(6.8056357e-002 -1.8122716e+000 -2.8648635e+000)
0.0156056      	(1.1980625e+002 1.8904755e+003 7.8848183e+002)	(1.1973923e+002 1.8922014e+003 7.9126414e+002)	(6.7021475e-002 -1.7259125e+000 -2.7823180e+000)
0.0162546      	(1.1977332e+002 1.8851702e+003 7.8407932e+002)	(1.1970747e+002 1.8868120e+003 7.8677887e+002)	(6.5849766e-002 -1.6418591e+000 -2.6995472e+000)
